data_key,data_period,Prorrata
14351,14,33.261408624351006
14351,15,33.407337326142816
14351,16,33.96007057293772
14351,17,31.31026036473557
14351,18,33.71459261567194
14351,19,29.104347231944185
14365,9,0.1592712287
14365,10,0.0
14365,11,0.0
14365,12,0.01612974166082644
14365,13,0.39181861856249
14365,14,1.3162169565270811
14365,15,1.0860954787482606
14365,16,1.0619355551912275
14365,17,0.5552059896478689
14365,18,0.4900362866525376
14365,19,0.2206489067375235
14379,9,0.9259271165
14379,13,0.3548852741874966
14785,9,0.9532440644
14785,10,0.0
14785,11,0.0
14785,12,0.0
14785,13,0.7906163322874697
14785,14,1.4810740264812439
14785,15,1.516623991244783
14785,16,1.6720054264736828
14785,17,1.3706567264436063
14785,18,2.175705692657612
14785,19,2.961736110812571
14813,9,41.8
14813,10,57.11502870574791
14813,11,62.27251791828069
14813,12,60.588592488092836
14813,13,48.06410104781217
14813,14,51.02763638402424
14813,15,48.94949632402826
14813,16,52.13165233205553
14813,17,47.582427651349185
14813,18,53.60515853133037
14813,19,57.16329706368825
14925,9,0.2
14925,10,0.24754885084182396
14925,11,0.39619457099193117
14925,12,0.35680787718117607
14925,13,0.3615667844773714
14925,14,0.36002401554149516
14925,15,0.2580100952842773
14925,16,0.17702731162765944
14925,17,0.141424497868937
14925,18,0.041167792238408434
14925,19,0.0
14967,9,5.07
14967,10,5.862476403702435
14967,11,5.922133276468697
14967,12,5.752077183082481
14967,13,5.053967467687469
14967,14,5.1410392363812445
14967,15,5.154162809644784
14967,16,5.083524957773684
14967,17,4.705177356443606
14967,18,4.861015018757612
14967,19,4.11178603761257
15079,9,4.55
15079,10,7.832646687235752
15079,11,17.601851535937204
15079,12,19.648206572680433
15079,13,18.744263709374835
15079,14,22.72244020211802
15079,15,24.308682275804347
15079,16,18.284027543187126
15079,17,10.436540869131147
15079,18,9.320083437542296
15079,19,4.07436687562539
15317,9,88.38
15317,13,91.14882366043703
15317,14,87.69628136997282
15317,15,88.03188401776828
15317,16,93.0085576717877
15317,17,83.02444525094984
15317,19,97.7213145892636
15331,9,5.7
15331,10,7.122476403702436
15331,11,6.992133276468696
15331,12,6.762077183082481
15331,13,5.96396746768747
15331,14,5.851039236381244
15331,15,5.934162809644785
15331,16,5.993524957773682
15331,17,5.695177356443606
15331,18,6.431015018757612
15331,19,6.141786037612571
15359,9,0.1021135397
15359,10,0.0
15359,11,0.0
15359,12,0.0
15359,13,0.0
15359,14,0.0
15359,15,0.0
15359,16,0.0
15359,17,0.0
15359,18,0.1880274088576128
15359,19,0.8727980615125707
15443,9,0.0838466463
15443,10,0.0
15443,11,0.0
15443,12,0.0
15443,13,0.0
15443,14,1.1725381540270814
15443,15,1.714127674848261
15443,16,1.8423510519912274
15443,17,1.7319363974478688
15443,18,1.7860198377525376
15443,19,1.304950672237523
15485,9,11.46
15485,10,14.900461614224678
15485,11,28.597560853443163
15485,12,40.11227466648871
15485,13,40.987596254237175
15485,14,44.78481112181063
